State_Name;District_Name;Market_Name;Variety;Group;Arrivals;Min_Price;Max_Price;Modal_Price;Reported_Date
Maharashtra;Ahmednagar;Ahmednagar;Other;Vegetables;3,096.50;100;1000;550;01 Feb 2014
Maharashtra;Amarawati;Amarawati;Other;Vegetables;50.00;500;1200;850;01 Feb 2014
Maharashtra;Aurangabad;Aurangabad;Other;Vegetables;5.40;300;800;550;01 Feb 2014
Maharashtra;Chandrapur;Chandrapur(Ganjwad);Other;Vegetables;32.70;700;1400;1100;01 Feb 2014
Maharashtra;Nashik;Chandvad;Red;Vegetables;1,057.80;300;970;780;01 Feb 2014
Maharashtra;Jalgaon;Jalgaon;Red;Vegetables;80.00;350;900;700;01 Feb 2014
Maharashtra;Ahmednagar;Jamkhed;Other;Vegetables;71.50;100;1050;575;01 Feb 2014
Maharashtra;Nashik;Lasalgaon;Red;Vegetables;893.00;600;978;875;01 Feb 2014
Maharashtra;Mumbai;Mumbai;Other;Vegetables;885.00;800;1000;900;01 Feb 2014
Maharashtra;Nagpur;Nagpur;Red;Vegetables;433.10;650;1100;875;01 Feb 2014
Maharashtra;Nagpur;Nagpur;Other;Vegetables;700;1150;925;01 Feb 2014
Maharashtra;Nashik;Pimpalgaon Baswant(Saykheda);Red;Vegetables;654.20;400;871;700;01 Feb 2014
Maharashtra;Pune;Pune(Khadiki);Other;Vegetables;4.10;400;800;600;01 Feb 2014
Maharashtra;Dhule;Shirpur;Red;Vegetables;9.00;200;1200;1050;01 Feb 2014
Maharashtra;Nashik;Yeola;Red;Vegetables;2,919.30;300;890;750;01 Feb 2014

Maharashtra;Amarawati;Amarawati;Other;Vegetables;40.00;500;1200;850;02 Feb 2014
Maharashtra;Pune;Junnar;Other;Vegetables;145.40;500;950;700;02 Feb 2014
Maharashtra;Pune;Junnar(Alephata);Other;Vegetables;1,291.60;600;1000;800;02 Feb 2014
Maharashtra;Satara;Karad;Other;Vegetables;0.90;600;1100;850;02 Feb 2014
Maharashtra;Nagpur;Nagpur;Red;Vegetables;332.60;650;1100;875;02 Feb 2014
Maharashtra;Nagpur;Nagpur;Other;Vegetables;700;1150;925;02 Feb 2014
Maharashtra;Ahmednagar;Parner;Other;Vegetables;2,676.50;300;1000;650;02 Feb 2014
Maharashtra;Ahmednagar;Rahata;Other;Vegetables;269.20;275;950;675;02 Feb 2014
Maharashtra;Ahmednagar;Sangamner;Red;Vegetables;1,157.40;400;925;662;02 Feb 2014
Maharashtra;Satara;Satara;Other;Vegetables;77.80;400;800;600;02 Feb 2014
Maharashtra;Ahmednagar;Shrirampur;Red;Vegetables;161.40;200;850;650;02 Feb 2014

Maharashtra;Ahmednagar;Ahmednagar;Other;Vegetables;4,062.70;100;930;520;03 Feb 2014
Maharashtra;Amarawati;Amarawati;Other;Vegetables;60.00;800;1000;900;03 Feb 2014
Maharashtra;Aurangabad;Aurangabad;Other;Vegetables;19.20;300;800;550;03 Feb 2014
Maharashtra;Pune;Baramati;Red;Vegetables;38.80;300;700;500;03 Feb 2014
Maharashtra;Chandrapur;Chandrapur(Ganjwad);Other;Vegetables;61.30;800;1200;1000;03 Feb 2014
Maharashtra;Nashik;Devala;Red;Vegetables;840.00;300;885;750;03 Feb 2014
Maharashtra;Nashik;Lasalgaon;Red;Vegetables;2,135.00;600;957;840;03 Feb 2014
Maharashtra;Nashik;Malegaon;Red;Vegetables;1,250.00;300;900;700;03 Feb 2014
Maharashtra;Nashik;Manmad;Red;Vegetables;1,677.80;300;830;751;03 Feb 2014
Maharashtra;Mumbai;Mumbai;Other;Vegetables;1,305.00;700;1000;850;03 Feb 2014
Maharashtra;Nagpur;Nagpur;Red;Vegetables;260.00;600;1062;831;03 Feb 2014
Maharashtra;Nagpur;Nagpur;Other;Vegetables;625;1100;862;03 Feb 2014
Maharashtra;Nashik;Nandgaon;Red;Vegetables;1,126.40;270;795;625;03 Feb 2014
Maharashtra;Nashik;Pimpalgaon Baswant(Saykheda);Red;Vegetables;585.40;331;851;700;03 Feb 2014
Maharashtra;Pune;Pune;Other;Vegetables;2,847.40;300;800;550;03 Feb 2014
Maharashtra;Pune;Pune(Khadiki);Other;Vegetables;9.50;200;800;500;03 Feb 2014

Maharashtra;Amarawati;Amarawati;Other;Vegetables;50.00;600;1100;850;04 Feb 2014
Maharashtra;Aurangabad;Aurangabad;Other;Vegetables;9.90;300;800;550;04 Feb 2014
Maharashtra;Chandrapur;Chandrapur(Ganjwad);Other;Vegetables;33.00;800;1200;1000;04 Feb 2014
Maharashtra;Nashik;Chandvad;Red;Vegetables;1,065.20;300;850;730;04 Feb 2014
Maharashtra;Nashik;Devala;Red;Vegetables;615.20;300;875;725;04 Feb 2014
